areaCode,areaName,areaType,date,cumCasesByPublishDate
E06000003,Redcar and Cleveland,utla,2021-11-05,22628
E06000014,York,utla,2021-11-05,26040
E06000050,Cheshire West and Chester,utla,2021-11-05,48600
E08000001,Bolton,utla,2021-11-05,48367
E08000016,Barnsley,utla,2021-11-05,44412
E08000031,Wolverhampton,utla,2021-11-05,42903
E08000032,Bradford,utla,2021-11-05,91157
E09000018,Hounslow,utla,2021-11-05,41787
E09000032,Wandsworth,utla,2021-11-05,42944
E09000033,Westminster,utla,2021-11-05,25994
E10000034,Worcestershire,utla,2021-11-05,73394
S12000013,Na h-Eileanan Siar,utla,2021-11-05,1142
S12000029,South Lanarkshire,utla,2021-11-05,46732
S12000045,East Dunbartonshire,utla,2021-11-05,15303
W06000023,Powys,utla,2021-11-05,12522
S12000013,Na h-Eileanan Siar,utla,2021-11-04,1122
S12000029,South Lanarkshire,utla,2021-11-04,46575
S12000045,East Dunbartonshire,utla,2021-11-04,15246
W06000023,Powys,utla,2021-11-04,12431
S12000013,Na h-Eileanan Siar,utla,2021-11-03,1104
S12000029,South Lanarkshire,utla,2021-11-03,46439
S12000045,East Dunbartonshire,utla,2021-11-03,15192
W06000023,Powys,utla,2021-11-03,12305
S12000013,Na h-Eileanan Siar,utla,2021-11-02,1077
S12000029,South Lanarkshire,utla,2021-11-02,46209
S12000045,East Dunbartonshire,utla,2021-11-02,15117
W06000023,Powys,utla,2021-11-02,12225
S12000013,Na h-Eileanan Siar,utla,2021-11-01,1061
S12000029,South Lanarkshire,utla,2021-11-01,46046
S12000045,East Dunbartonshire,utla,2021-11-01,15088
W06000023,Powys,utla,2021-11-01,12127
S12000013,Na h-Eileanan Siar,utla,2021-10-31,1012
S12000029,South Lanarkshire,utla,2021-10-31,45521
S12000045,East Dunbartonshire,utla,2021-10-31,14916
W06000023,Powys,utla,2021-10-31,11958
S12000013,Na h-Eileanan Siar,utla,2021-10-30,1012
S12000029,South Lanarkshire,utla,2021-10-30,45521
S12000045,East Dunbartonshire,utla,2021-10-30,14916
W06000023,Powys,utla,2021-10-30,11870
S12000013,Na h-Eileanan Siar,utla,2021-10-29,1012
S12000029,South Lanarkshire,utla,2021-10-29,45521
S12000045,East Dunbartonshire,utla,2021-10-29,14916
W06000023,Powys,utla,2021-10-29,11870
S12000013,Na h-Eileanan Siar,utla,2021-10-28,989
S12000029,South Lanarkshire,utla,2021-10-28,45361
S12000045,East Dunbartonshire,utla,2021-10-28,14864
W06000023,Powys,utla,2021-10-28,11781
S12000013,Na h-Eileanan Siar,utla,2021-10-27,973
S12000029,South Lanarkshire,utla,2021-10-27,45240
S12000045,East Dunbartonshire,utla,2021-10-27,14823
W06000023,Powys,utla,2021-10-27,11689
S12000013,Na h-Eileanan Siar,utla,2021-10-26,967
S12000029,South Lanarkshire,utla,2021-10-26,45072
S12000045,East Dunbartonshire,utla,2021-10-26,14775
W06000023,Powys,utla,2021-10-26,11610
S12000013,Na h-Eileanan Siar,utla,2021-10-25,956
S12000029,South Lanarkshire,utla,2021-10-25,44934
S12000045,East Dunbartonshire,utla,2021-10-25,14714
W06000023,Powys,utla,2021-10-25,11314
S12000013,Na h-Eileanan Siar,utla,2021-10-24,954
S12000029,South Lanarkshire,utla,2021-10-24,44837
S12000045,East Dunbartonshire,utla,2021-10-24,14679
W06000023,Powys,utla,2021-10-24,11314
S12000013,Na h-Eileanan Siar,utla,2021-10-23,942
S12000029,South Lanarkshire,utla,2021-10-23,44705
S12000045,East Dunbartonshire,utla,2021-10-23,14624
W06000023,Powys,utla,2021-10-23,11214
S12000013,Na h-Eileanan Siar,utla,2021-10-22,936
S12000029,South Lanarkshire,utla,2021-10-22,44566
S12000045,East Dunbartonshire,utla,2021-10-22,14579
W06000023,Powys,utla,2021-10-22,11214
S12000013,Na h-Eileanan Siar,utla,2021-10-21,921
S12000029,South Lanarkshire,utla,2021-10-21,44409
S12000045,East Dunbartonshire,utla,2021-10-21,14516
W06000023,Powys,utla,2021-10-21,11101
S12000013,Na h-Eileanan Siar,utla,2021-10-20,910
S12000029,South Lanarkshire,utla,2021-10-20,44266
S12000045,East Dunbartonshire,utla,2021-10-20,14460
W06000023,Powys,utla,2021-10-20,10928
S12000013,Na h-Eileanan Siar,utla,2021-10-19,901
S12000029,South Lanarkshire,utla,2021-10-19,44094
S12000045,East Dunbartonshire,utla,2021-10-19,14390
W06000023,Powys,utla,2021-10-19,10843
S12000013,Na h-Eileanan Siar,utla,2021-10-18,888
S12000029,South Lanarkshire,utla,2021-10-18,43869
S12000045,East Dunbartonshire,utla,2021-10-18,14318
W06000023,Powys,utla,2021-10-18,10722
S12000013,Na h-Eileanan Siar,utla,2021-10-17,878
S12000029,South Lanarkshire,utla,2021-10-17,43718
S12000045,East Dunbartonshire,utla,2021-10-17,14264
W06000023,Powys,utla,2021-10-17,10504
S12000013,Na h-Eileanan Siar,utla,2021-10-16,872
S12000029,South Lanarkshire,utla,2021-10-16,43493
S12000045,East Dunbartonshire,utla,2021-10-16,14220
W06000023,Powys,utla,2021-10-16,10415
S12000013,Na h-Eileanan Siar,utla,2021-10-15,866
S12000029,South Lanarkshire,utla,2021-10-15,43324
S12000045,East Dunbartonshire,utla,2021-10-15,14136
W06000023,Powys,utla,2021-10-15,10415
S12000013,Na h-Eileanan Siar,utla,2021-10-14,862
S12000029,South Lanarkshire,utla,2021-10-14,43160
S12000045,East Dunbartonshire,utla,2021-10-14,14085
W06000023,Powys,utla,2021-10-14,10278
S12000013,Na h-Eileanan Siar,utla,2021-10-13,855
S12000029,South Lanarkshire,utla,2021-10-13,43005
S12000045,East Dunbartonshire,utla,2021-10-13,14031
W06000023,Powys,utla,2021-10-13,10132
S12000013,Na h-Eileanan Siar,utla,2021-10-12,852
S12000029,South Lanarkshire,utla,2021-10-12,42857
S12000045,East Dunbartonshire,utla,2021-10-12,13964
W06000023,Powys,utla,2021-10-12,10057
S12000013,Na h-Eileanan Siar,utla,2021-10-11,847
S12000029,South Lanarkshire,utla,2021-10-11,42733
S12000045,East Dunbartonshire,utla,2021-10-11,13936
W06000023,Powys,utla,2021-10-11,9987
S12000013,Na h-Eileanan Siar,utla,2021-10-10,841
S12000029,South Lanarkshire,utla,2021-10-10,42586
S12000045,East Dunbartonshire,utla,2021-10-10,13901
W06000023,Powys,utla,2021-10-10,9817
S12000013,Na h-Eileanan Siar,utla,2021-10-09,832
S12000029,South Lanarkshire,utla,2021-10-09,42430
