time_open,Type,price_high,price_low,volume_traded,trades_count
2021-10-01T00:00:00.7905020Z,BTC,35502.25,32180,876.7781239,28095
2021-10-01T12:00:00.9255280Z,BTC,35805,34498.76,967.6084051,31944
2021-10-02T00:00:01.5321180Z,BTC,35642.85,34999.94,270.3272479,13956
2021-10-02T12:00:00.9093790Z,BTC,35700,35100,522.4716149,24139
2021-10-03T00:00:00.2669710Z,BTC,35548.06,34796.88,222.4177266,11096
2021-10-03T12:00:01.3042220Z,BTC,36364.78,35151.51,667.4707537,25249
2021-10-04T00:00:03.5910000Z,BTC,35620.01,34854.67,454.8313953,14896
2021-10-04T12:00:01.0532000Z,BTC,36477.64,34500,809.2396016,27018
2021-10-05T00:00:01.3766430Z,BTC,37000,36016.05,540.3443972,18171
2021-10-05T12:00:00.4450000Z,BTC,38092.32,36400.31,887.5292117,31726
2021-10-06T00:00:00.0277400Z,BTC,38082,36824.8,675.8053149,20943
2021-10-06T12:00:01.2729760Z,BTC,41055.8,37553.85,1656.234975,52657
2021-10-07T00:00:02.4726980Z,BTC,40707.1,38970.54,670.9777377,22299
2021-10-07T12:00:01.7795430Z,BTC,40222.83,38520.02,711.4522449,27792
2021-10-08T00:00:01.6890000Z,BTC,41310.95,38807.65,570.1438423,20339
2021-10-08T12:00:02.3910000Z,BTC,40608.48,38812.71,489.743288,22961
2021-10-09T00:00:01.6858990Z,BTC,40660.96,38837.45,354.1623447,12890
2021-10-09T12:00:00.7621380Z,BTC,40745,39194.73,355.8028808,17233
2021-10-10T00:00:00.1757830Z,BTC,41188,39317.81,331.6187762,13706
2021-10-10T12:00:01.7167910Z,BTC,41484.64,39660.94,623.0940723,24571
2021-10-11T00:00:01.3453260Z,BTC,41805.55,39751.13,549.5165446,21000
2021-10-11T12:00:01.1898190Z,BTC,42504.05,40690.5,771.4041873,29934
2021-10-12T00:00:01.0341680Z,BTC,42454.41,41223.8,499.5611529,19828
2021-10-12T12:00:00.9926260Z,BTC,42224.84,39358.34,797.0760257,32169
2021-10-13T00:00:00.8059330Z,BTC,41625.08,39615.02,441.7202413,19858
2021-10-13T12:00:00.3893880Z,BTC,42254.8,39871.8,686.6733209,27228
2021-10-14T00:00:01.8486340Z,BTC,42846.07,41479.14,475.0106708,19291
2021-10-14T12:00:01.8074450Z,BTC,42428.01,40950,477.7076718,24618
2021-10-15T00:00:01.8150000Z,BTC,43835.1,41002.72,776.0413482,31258
2021-10-15T12:00:01.0005250Z,BTC,45801.7,42366.97,1253.897781,49837
2021-10-16T00:00:07.8810000Z,BTC,45331.08,43575.69,379.2922828,20088
2021-10-16T12:00:01.9721140Z,BTC,44784.5,42960,474.1560741,24004
2021-10-17T00:00:00.2184440Z,BTC,44686.9,43100,271.1273921,13389
2021-10-17T12:00:00.8350000Z,BTC,44850,42475.44,750.9413328,29911
2021-10-18T00:00:03.4880000Z,BTC,45584.35,43322.18,514.4606973,21651
2021-10-18T12:00:00.4015950Z,BTC,45448.32,42785.71,766.5889215,33412
2021-10-19T00:00:01.5207290Z,BTC,45761.26,44076.08,390.2701775,18530
2021-10-19T12:00:00.7474040Z,BTC,46753.46,43914.26,1168.990389,42894
2021-10-20T00:00:00.0010000Z,BTC,46661.5,45390.8,319.7278051,18584
2021-10-20T12:00:00.0685370Z,BTC,48542.7,45584.71,1427.625162,55887
2021-10-21T00:00:00.7932820Z,BTC,48359.51,45200,865.7915806,34692
2021-10-21T12:00:01.3818920Z,BTC,47512.43,43913.34,1182.833464,48171
2021-10-22T00:00:02.7440000Z,BTC,46208.6,43998.7,596.3125677,23924
2021-10-22T12:00:02.9923150Z,BTC,46235.6,42687.77,1032.573442,38543
2021-10-23T00:00:08.4210000Z,BTC,44845.74,42438.97,417.3082093,17473
2021-10-23T12:00:01.2026640Z,BTC,44890.25,43222.22,350.3551552,21173
2021-10-24T00:00:01.1868100Z,BTC,44729.44,42859.02,279.7820969,14060
2021-10-24T12:00:02.4650000Z,BTC,44672.79,42401.8,552.3057937,27752
2021-10-25T00:00:02.7880000Z,BTC,45900,43275.89,496.9412277,20434
2021-10-25T12:00:00.8041670Z,BTC,46314.1,44591.38,685.1034572,32414
2021-10-26T00:00:01.0820000Z,BTC,46000,44447.28,317.80621,16199
2021-10-26T12:00:00.2190190Z,BTC,45587.03,42949.33,717.7307029,35680
2021-10-27T00:00:00.8182140Z,BTC,45339.8,42065.18,1161.610434,42686
2021-10-27T12:00:00.5767620Z,BTC,43419.25,42112.7,858.4731989,38184
2021-10-28T00:00:02.0750000Z,BTC,44769.4,42091.01,718.9195754,27312
2021-10-28T12:00:00.8786670Z,BTC,45320.29,40820,1116.707666,41685
2021-10-29T00:00:00.2359620Z,BTC,44976.16,43507.71,627.3524105,26331
2021-10-29T12:00:00.4490680Z,BTC,46024.87,43798.27,808.6647412,36813
2021-10-30T00:00:00.3200000Z,BTC,45569.09,44052.84,303.9862817,16709
2021-10-30T12:00:04.4477520Z,BTC,45529,43986.08,463.7470701,27394
2021-10-31T00:00:00.1908700Z,BTC,45800,42684.48,437.1456991,20490
2021-10-31T12:00:00.1420000Z,BTC,45094.2,43600,562.8918996,28663
2021-11-01T00:00:01.2251820Z,BTC,45768.6,43397.32,676.2296429,25973
2021-11-01T12:00:00.8706820Z,BTC,45528.23,43937.02,622.1548527,34457
2021-11-02T00:00:01.5599860Z,BTC,46665.97,44170.89,592.3624637,24772
2021-11-02T12:00:00.0250850Z,BTC,47269.13,45559.26,917.5550841,38542
2021-11-03T00:00:00.9617150Z,BTC,46691.53,45588.64,384.1393865,21008
